VanillaOption,1000000069,0,{'375.3100800': -0.416844724991724}
 ExoticDoubleSharkfin,1000000070,4003.7578,"{'2037.1200800': -0.8007515623581433, '2062.5840810000000000000000': -0.7785924036478054, '2088.0480820000000000000000': -0.7612673116752893, '2113.5120830000000000000000': -0.7446911877591916, '2138.9760840000000000000000': -0.7277421184248895, '2164.4400850000000000000000': -0.7110844804749028, '2189.9040860000000000000000': -0.6910530889818748, '2215.3680870000000000000000': -0.677411446848833, '2240.8320880000000000000000': -0.6619013807896299, '2266.2960890000000000000000': -0.6477001495784049, '2291.7600900000000000000000': -0.6365209591871945, '2317.2240910000000000000000': -0.6254760348558516, '2342.6880920000000000000000': -0.6105172270836204, '2368.1520930000000000000000': -0.598598272846921, '2393.6160940000000000000000': -0.5943745354914922, '2419.0800950000000000000000': -0.5915217187376091, '2444.5440960000000000000000': -0.5878255699278725, '2470.0080970000000000000000': -0.5836797711852526, '2495.4720980000000000000000': -0.5845887750544853, '2520.9360990000000000000000': -0.5821973667169239, '2546.4001000000000000000000': -0.5840714252129168, '2571.8641010000000000000000': -0.5878918752401856, '2597.3281020000000000000000': -0.5882242900791073, '2622.7921030000000000000000': -0.5963657700120929, '2648.2561040000000000000000': -0.6029238015769413, '2673.7201050000000000000000': -0.6062224743529447, '2699.1841060000000000000000': -0.6110874921452517, '2724.6481070000000000000000': -0.6230242597219524, '2750.1121080000000000000000': -0.6389275388225788, '2775.5761090000000000000000': -0.6506996039763245, '2801.0401100000000000000000': -0.6594240815107438, '2826.5041110000000000000000': -0.6722393659335415, '2851.9681120000000000000000': -0.6846599955656767, '2877.4321130000000000000000': -0.6988608060274292, '2902.8961140000000000000000': -0.7083784547280335, '2928.3601150000000000000000': -0.7223843313142607, '2953.8241160000000000000000': -0.738966125490985, '2979.2881170000000000000000': -0.7530150048132975, '3004.7521180000000000000000': -0.7656008668453291, '3030.2161190000000000000000': -0.7780405707935929, '3055.6801200': -0.7915175595896391}"
 BinaryOption,1000000071,5120.9891,{'2400.1084000': -0.9310889339465577}
 SPREAD,1000000072,193.7463,"{'250.2067200': -0.0020465150779584163, '375.3100800': -0.03874925366003912}"
 RangeAccrual,1000000073,448.0588,"{'2037.1200800': -0.08961175027967724, '3055.6801200': -0.08961175027967724}"
 PhoenixAutocall,1000000074,0,"{'2037.1200800': -1.0, '3055.6801200': -1.0}"
 VanillaOption,1000000077,139.4366,{'3839.9024400': -0.27887310939283133}
 VanillaOption,1000000079,603294.029,{'2559.9349600': -1.2065880579527093}
 SPREAD,1000000109,50,"{'2559.9349600': -2.3128780809566678e-255, '3839.9024400': -2.2675206098922305e-38}"
 SPREAD,1000000110,12365.6742,"{'2682.6494400': -0.24731348329453384, '4023.9741600': -0.013061060991907578}"
